"","LUV","JBLU","ALK","ALGT","GOL","GLUX","CPA","HA","SKYW","AAPL","KODK","WATT","KOSS","MSN","VUZI","UEIC","FN","PHG","ABBV","LLY","NVS","AZN","ADTN","HIVE","AUDC","ALLT","AVNW","ATEN","DAL","AAL","SAVE","CEA","ZNH","VLRS","UAL","stock.data.a6.df$ARCO"
"1",50.993893,18.6,62.670177,141.073624,16.559999,0.11441,94.659607,27.29294,60.4296,49.110786,2.4,4.27,1.99,1.05,3.52,40.650002,51.950001,41.564701,62.645103,106.492378,81.798828,37.792221,14.007467,1.95,14.689369,7.59,6.625,6.826709,57.340881,31.855803,48.900002,30.081364,36.25,9.53,88.870003,7.017359
"2",50.885056,18.790001,62.060295,139.446747,16.68,0.11441,92.62413,27.213972,60.667435,49.398315,2.42,4.15,2.04,1.03,3.39,40.919998,50.759998,41.725071,63.353481,107.87146,82.012535,38.158154,14.164128,1.95,14.91964,7.68,6.85,6.915497,57.938385,32.380302,50.470001,29.717752,35.98,9.73,90.669998,7.258671
"3",51.340179,19.129999,62.798058,141.172211,17.92,0.11441,94.043091,27.05604,61.42057,49.807678,2.4,4.17,2.04,1.03,3.16,40.360001,51.189999,42.102421,63.976498,108.079269,82.368721,38.41431,14.154916,1.85,15.034775,7.83,6.665,7.024014,57.497601,32.123001,50.869999,29.648962,35.91,9.89,90.589996,7.249019
"4",51.330288,19.190001,63.024303,142.70047,21,0.11441,101.12812,27.63842,61.747593,49.763817,2.38,4.37,2,1.03,3.11,40.869999,51.099998,41.913746,62.295162,106.567947,80.534355,37.453732,14.025902,1.8,15.015585,7.78,6.68,6.885901,58.153877,32.449577,51.689999,29.14777,35.150002,9.95,90.669998,7.335891
"5",51.528172,19.459999,63.624344,144.248459,21.559999,0.11441,98.44677,27.756872,61.826874,48.737984,2.42,4.19,2,1.05,3.15,39.880001,50.220001,41.564701,60.784515,105.339981,80.801491,37.3531,14.394518,1.8,15.83113,7.73,6.795,6.866171,57.752277,32.024044,50.77,29.285351,34.310001,9.77,89.459999,7.220061
"6",51.142303,18.99,62.650501,142.079315,21.43,0.165,98.95565,26.730303,61.529579,49.035255,2.45,4.21,2.03,1.03,3.24,40.939999,50.810001,41.423195,60.801582,106.81353,81.086441,37.270756,14.403732,1.8,15.687209,7.9,6.7,6.915497,58.251831,32.598019,51.41,30.356527,34.709999,9.7,89.510002,7.7606
"7",51.310497,18.940001,61.912746,143.558289,21.809999,0.165,99.70916,26.878365,60.736805,49.520145,2.52,4.24,2,1.08,3.21,41.959999,51.290001,41.819412,61.151505,108.183182,81.380295,37.627548,14.44981,1.75,15.783154,8,6.675,6.895766,58.927696,32.687084,52.220001,28.695715,34.060001,9.69,89.480003,7.654423
"8",51.29071,18.690001,62.276707,142.473709,21.57,0.165,98.838203,26.068953,59.854832,49.159515,2.61,4.26,2.02,1.04,3.06,42.16,51.16,41.92318,60.801582,103.7342,80.445297,37.005455,14.486671,1.75,16.243698,7.93,6.64,6.915497,60.38718,33.429295,50.810001,28.420549,33.970001,10.07,91.230003,7.99226
"9",51.953609,18.870001,63.191525,146.585236,20.98,0.165,98.583778,27.273199,60.191769,49.537209,2.53,4.59,1.98,1.03,2.88,43.189999,52.060001,41.592999,60.8969,102.288979,78.530785,36.785885,14.615686,1.75,16.406805,7.95,6.55,7.083205,60.436153,33.261066,50.91,28.636749,34.360001,10.07,91.32,7.818516
"10",51.706261,18.73,62.32589,146.151382,20.440001,0.165,99.797241,27.776613,59.289978,50.002609,2.55,4.54,1.99,1.06,2.55,42.34,52.040001,41.809975,60.888233,102.459007,79.492493,36.795036,14.514318,1.5,15.744777,7.93,6.525,7.241047,61.866245,33.864731,51.419998,28.636749,34.68,10.39,93.919998,7.625465
"11",52.715454,19.5,64.34243,146.466919,21,0.165,100.854118,28.536669,60.865627,49.829609,2.53,4.63,1.95,1.09,2.5,42.040001,52.220001,42.017513,59.926426,102.789612,79.394547,36.776745,14.578824,1.6,15.552882,7.68,6.535,7.497542,60.974884,32.914696,50.650002,28.754677,34.380001,10.21,94.779999,7.741296
"12",51.745834,19.08,62.739037,145.776749,20.24,0.165,98.818642,27.204103,59.73592,49.549389,2.5,4.52,1.97,1.04,2.37,42.490002,52.490002,41.753372,59.198578,101.155479,80.347359,36.904819,11.178327,1.55,15.207479,7.63,6.525,7.684981,61.376484,33.389717,51.279999,28.685886,34.57,9.97,95.279999,7.799211
"13",51.884354,19.219999,63.30957,145.27388,20.85,0.165,98.622917,27.194231,60.162033,50.112255,2.42,4.34,1.97,1.04,2.25,42.709999,52.279999,41.649601,59.137924,102.33622,83.935959,37.261608,10.625401,1.5,15.351397,7.67,6.43,7.467947,59.662331,32.736568,50.889999,28.499168,34.330002,9.9,93.830002,7.693033
"14",51.468803,18.91,62.453773,141.872253,20.48,0.165,99.474304,26.977074,59.032326,49.364201,2.45,4.2,1.98,1.07,2.45,41.709999,52.369999,41.045845,59.38921,100.872116,83.31263,36.703552,10.533248,1.4,15.783154,7.64,6.42,7.497542,60.034554,32.558437,52.380001,28.332104,34.650002,9.76,93.830002,7.567551
"15",52.121811,18.959999,61.843887,143.32164,20.76,0.165,100.511612,26.750044,59.924206,50.492374,2.41,4.16,1.99,1.08,2.51,41.029999,52.59,43.564632,58.921295,101.325508,83.740051,36.895668,10.431878,1.3,17.356674,7.47,6.4,7.418621,61.79768,33.379814,53.720001,28.567959,34.75,9.71,94.93,7.577203
"16",53.546551,19.280001,64.037483,145.589386,20.32,0.165,100.795395,27.322554,60.667435,50.887108,2.45,4.09,1.97,1.04,2.27,41.349998,53.959999,44.611771,58.687347,102.222862,83.419479,37.124382,10.330509,1.25,17.107214,7.46,6.465,7.448216,62.263969,34.230892,55.049999,28.410721,34.779999,10.58,95.110001,7.712338
"17",54.140194,19.559999,64.499825,146.683838,20.690001,0.165,101.773994,28.181318,62.114254,50.845688,2.45,4.24,1.97,1.07,2.23,41.900002,54.860001,44.206127,58.4534,102.506218,83.098907,36.913971,10.201493,1.25,17.769241,7.49,6.325,7.389025,61.347164,31.341204,42.009998,27.899702,33.900002,10.94,93.93,7.615813
"18",54.328182,19.52,62.81773,149.878387,20.32,0.165,100.66819,26.651335,60.548515,50.443638,2.39,4.12,1.99,1.04,2.13,41.419998,54.290001,44.008018,57.760208,101.845039,81.914574,39.02726,10.533248,1.3,18.028297,7.65,6.405,7.369295,61.278156,30.91567,43.560001,27.948839,33.630001,10.14,93.360001,7.866778
"19",52.685772,19.379999,63.860432,150.4897,21.440001,0.165,101.382561,26.759914,61.182739,50.61908,2.4,4.13,1.99,1.04,1.98,42.360001,54.57,44.394798,58.713341,102.270081,82.983154,39.804871,10.477954,1.2,18.699919,7.55,6.39,7.310104,61.573898,30.420858,42.369999,27.87022,33.110001,10.24,93.440002,7.895736
"20",52.319691,19.440001,62.925938,150.026291,21.65,0.165,101.362991,26.098566,61.271931,51.091789,2.38,4.38,1.95,1.04,2.25,41.169998,54.939999,44.941948,58.210793,102.695168,82.039238,40.60994,10.459525,1.15,18.642355,7.36,6.34,7.152261,61.741489,30.391172,42.189999,27.378857,32.57,9.83,93.93,7.905387
"21",51.993187,19.459999,62.965286,149.138901,21.57,0.165,100.315887,26.345337,61.797142,50.872494,2.46,4.28,1.95,1.06,2.05,41.790001,54.299999,44.404228,58.210793,102.666809,81.602913,40.125072,10.320189,1.2,17.903568,7.24,6.41,7.477812,60.174046,30.193247,42.43,26.99559,32.380001,9.79,91.910004,7.673728
"22",50.983997,19.23,62.32589,147.748688,21.48,0.14425,98.936066,25.654377,60.162033,51.910503,2.42,4.09,1.95,1.04,1.97,42.82,53.68,44.140091,57.725548,102.912399,81.549492,39.713394,10.171562,1.25,17.970728,7.13,6.475,7.418621,59.46426,29.530203,42.369999,25.550978,30.82,9.45,90.489998,7.721991
"23",50.420036,19.129999,62.109478,146.052811,22.48,0.13091,98.084702,25.605024,60.201672,50.787205,2.39,4.015,1.93,1.04,1.94,43.299999,52.740002,44.866482,57.01503,104.385948,82.199532,40.253147,10.013647,1.3,17.89397,7.13,6.535,7.122665,59.276955,29.144253,42.110001,25.600113,30.99,9.24,89.43,7.721991
"24",50.083637,19.030001,62.237362,145.579514,21.620001,0.13091,97.086525,26.740171,58.883678,49.712646,2.44,3.92,1.97,1.05,2,38.490002,50.990002,43.970284,56.625107,106.190102,82.083771,40.509304,10.022937,1.4,17.375862,7.08,6.45,6.994418,56.999729,28.233805,41.360001,23.398798,28.6,8.76,85.589996,7.306934
"25",48.441227,18.889999,60.515919,143.666733,20.57,0.066,96.196007,24.440262,55.544094,47.110302,2.44,3.6,1.99,1.05,1.96,40.099998,49.52,42.913712,56.521126,102.685699,80.783684,39.85062,10.283031,1.5,17.788431,7.54,6.355,7.004283,57.955963,28.164288,41.299999,23.811544,29.35,8.81,85.459999,7.586856
"26",49.183281,19.129999,61.45042,144.741455,20.6,0.10813,98.573997,25.289156,56.653984,48.002113,2.43,3.81,1.87,1.06,1.89,41.560001,50.560001,43.225021,56.122528,105.226631,78.557503,39.905502,10.292319,1.5,17.855595,7.52,6.35,6.895766,58.399586,28.432425,40.799999,23.811544,29.02,9,86.480003,7.673728
"27",49.400951,19.360001,62.079971,144.997787,19.9,0.1545,97.477966,25.456961,57.228752,48.499187,2.44,3.82,1.98,1.07,1.99,41.860001,50.77,43.385395,55.853931,104.962166,79.073967,40.179958,10.413079,1.4,18.018703,7.48,6.49,7.132531,59.178371,28.879318,40.830002,23.605173,29.25,9.4,87.629997,7.809375
"28",49.955017,19.690001,63.476795,146.654251,20.17,0.1545,108.03701,26.2565,57.278305,49.568874,2.48,4,1.89,1.04,1.96,42.299999,53.77,44.064617,56.711754,107.654228,81.237823,40.799255,10.245874,1.35,17.826811,7.4,6.355,7.043744,58.685467,28.58139,39.970001,23.428282,28.709999,9.3,86.980003,7.906265
"29",49.91544,19.450001,62.886585,144.100555,20.450001,0.1545,108.99604,25.387861,56.317059,49.160412,2.25,3.79,1.96,1.07,1.86,46.369999,53.880001,43.743874,56.824398,107.465309,80.872734,41.381577,10.301609,1.25,17.279915,7.29,6.415,7.043744,57.827808,27.449257,39.009998,22.789507,27.83,9.17,84.709999,6.93736
"30",49.519676,19.01,61.096291,142.079315,19.02,0.1545,103.310394,25.269413,55.098156,49.035671,2.11,3.78,1.86,1.07,1.94,47.310001,53.509998,43.536335,55.914581,107.304718,81.122055,41.002605,10.3945,1.25,17.577349,7.22,6.645,7.033878,58.005257,27.320154,38.939999,23.693619,29.139999,9.3,84.559998,6.927671
"31",49.391052,18.780001,60.171631,140.649643,19.27,0.1545,101.676147,25.249672,55.326084,51.112255,2.05,3.91,1.94,1.07,2.01,46.68,55.060001,43.932545,56.330505,109.288345,81.139877,41.46476,10.106538,1.25,16.685051,7.11,6.52,6.964822,56.418095,25.919884,37.470001,23.359491,28.549999,8.71,81.949997,6.908293
"32",48.243347,18.25,58.263298,140.008759,17.93,0.1545,100.257172,24.410648,53.740524,49.590893,2,3.83,1.83,1.02,2,44.439999,52.66,42.583534,55.022099,104.762177,79.260979,40.494232,9.837156,1.2,16.550722,7.12,6.525,6.826709,56.299801,25.234646,37.310001,23.595345,28.67,8.65,81.620003,6.956738
"33",47.699177,18.02,58.056725,138.914322,17.780001,0.1545,99.170929,23.587374,53.235126,49.343857,2.07,3.55,1.83,1.02,2.07,43.880001,52.849998,42.96088,54.571518,104.705185,78.878067,40.836227,9.985781,1.2,16.800184,7.15,6.39,6.935227,57.216606,25.612024,38.400002,23.693619,29.07,8.77,82.940002,6.976116
"34",49.262436,18.4,59.374855,140.807404,17.43,0.1545,102.879814,24.519756,55.127884,50.50811,2.05,3.58,1.85,1.02,1.99,44.57,55.57,43.366531,55.827927,104.980652,79.670586,40.984116,10.273742,1.15,17.186617,7.28,6.445,6.925362,57.364475,25.919884,38.59,24.322565,30.66,8.57,83.889999,6.840469
"35",50.103424,18.34,59.948711,140.048203,17.190001,0.1545,101.793564,24.926435,56.485523,51.449787,2.12,3.64,1.94,1.04,1.94,45.290001,56.459999,43.828777,57.67355,106.8899,79.679497,41.05806,10.022937,1.15,17.099672,7.24,6.465,7.004283,56.861713,25.651749,38.599998,23.664137,29.73,8.77,84.029999,6.782335
"36",49.666534,17.950001,59.473793,139.496048,17.42,0.1545,101.147697,25.214087,55.425179,51.452232,2.23,3.44,1.94,1.04,2.04,45.580002,46.459999,43.762741,57.543591,105.446083,79.323303,41.24292,10.087961,1.1,16.983742,7.43,6.475,7.083205,57.187027,26.237675,38.52,23.664137,29.83,8.83,85.290001,6.714512
"37",50.232506,18.01,59.176971,141.300385,17.559999,0.1545,100.97155,23.904779,56.386429,52.009903,2.33,3.48,1.97,1.04,1.96,45.419998,48,44.111786,58.522713,105.873528,80.249397,41.982376,9.957912,1.05,17.07069,7.88,6.475,7.033878,57.137741,26.346918,38.799999,23.673964,29.59,8.54,85.559998,6.782335
"38",50.828266,18.01,59.097816,140.127075,16.34,0.134,99.836372,24.003969,55.80175,51.965874,2.49,3.5,1.97,1.04,2,45.029999,48.389999,43.989151,58.505386,106.016006,79.252068,41.973133,9.521326,1.05,16.703577,7.93,6.475,6.935227,55.40271,25.244576,37.73,22.799335,28.940001,8.43,82.529999,6.607932
"39",50.202724,17.219999,57.316868,138.72699,16.08,0.06,97.233315,23.339397,53.760342,49.563995,2.36,3.29,1.85,1.04,1.88,42.919998,47.59,43.309929,57.162331,104.021278,78.75341,41.205956,9.549191,1.05,16.616631,7.81,6.535,6.856305,55.481575,25.016165,37.549999,23.202253,29.559999,8.47,83.580002,6.704823
"40",50.331799,17.1,57.762104,138.450928,15.78,0.06,97.898758,23.160856,54.40448,50.505669,2.32,3.31,2.05,1.04,1.86,43.77,48.810001,43.366531,57.586914,106.177498,78.824646,41.437035,9.391276,1.05,16.462057,7.65,6.655,6.737923,55.343559,24.281271,36.029999,23.221907,29.200001,8.65,81.940002,6.743579
"41",50.133217,16.549999,57.396019,136.873352,15.74,0.06,98.759918,23.309641,53.314407,49.935768,2.31,3.18,2.65,1.02,1.8,43.869999,48.41,43.677841,56.902378,105.180122,79.581543,41.483246,9.465589,0.95,16.568325,7.57,6.94,6.698463,55.875896,25.155199,36.98,23.192427,28.549999,8.8,82.449997,6.511042
"42",50.798477,16.75,58.118294,137.780472,15.6,0.06,98.583778,23.80559,54.691853,50.270863,2.38,3.27,2.22,1.03,1.84,45.119999,48.52,43.96085,57.248978,105.408089,79.234261,41.409298,9.753552,0.95,16.983742,7.6,7.05,6.866171,57.058876,26.138367,37.810001,23.290699,28.809999,8.78,84.690002,6.578865
"43",51.930424,17.35,59.325382,139.515778,16.120001,0.06,100.632469,24.658623,56.604443,51.122032,2.39,3.37,1.85,1.02,1.83,45.209999,50.709999,44.27216,57.378952,106.623932,79.260979,41.982376,9.539904,0.95,16.85815,7.68,7.05,6.84644,57.039158,26.128435,37.540001,23.192427,28.219999,8.89,84.309998,6.404462
"44",51.950283,17.32,59.087925,139.998901,16.07,0.08,101.627274,24.212267,56.743172,51.056,2.41,3.64,1.76,1.04,1.83,45.150002,50.490002,44.413666,56.963039,107.307838,80.240494,41.621895,9.409857,1,16.974081,7.57,6.875,6.708328,56.477245,26.327055,36.09,24.027746,28.610001,8.79,83.150002,6.239748
"45",51.016926,17.17,59.790409,139.574921,15.19,0.08,99.489929,23.418749,55.712566,50.312435,2.38,3.5,1.85,1.01,1.99,44.919998,50.18,44.28159,56.668434,108.24823,80.035675,41.843735,9.381989,1,16.838829,7.57,7.02,6.737923,56.418095,26.813673,36.130001,24.0474,29.190001,9.5,83.910004,6.249437
"46",51.731838,16.389999,61.116226,141.260956,15.53,0.08,99.233841,23.031906,55.692745,51.166065,2.43,3.49,1.91,1.05,2.13,45.75,51.32,44.800446,57.517597,107.573822,79.430168,41.908428,9.874312,0.95,16.838829,7.61,7.15,6.797114,57.364475,27.498913,37.32,24.971167,30.190001,9.68,85.839996,6.520731
"47",52.148872,16.52,62.719078,145.36261,16.469999,0.08,100.533981,23.646887,56.594528,52.166447,2.43,3.54,1.92,1.02,2.16,45.799999,53.779999,44.574039,58.080811,108.85614,79.724014,41.37233,9.920758,0.95,16.867811,7.64,7.25,6.806979,57.157455,27.598223,37.060001,25.138231,30.77,10.25,86.300003,6.559487
"48",51.771557,16.67,62.422253,145.382324,16.65,0.08,99.91346,24.013889,56.455791,52.161549,2.44,3.6,1.95,1.05,2.16,44.700001,53.830002,44.658939,58.592037,108.333725,79.884308,41.353844,10.004359,1,16.626287,7.43,7.165,6.777384,57.285614,28.243738,36.139999,25.383913,30.620001,10.53,87.330002,6.491663
"49",52.704914,17.030001,64.084473,146.861298,16.030001,0.08,99.115646,25.263681,57.644958,52.384125,2.54,3.62,1.97,1.03,2.18,46.02,54.580002,43.743874,57.794861,105.503075,79.804161,40.484985,10.3945,1,16.336468,7.39,7.095,6.885901,57.80809,28.919044,37.880001,25.167713,30.799999,10.36,87.559998,6.53042
"50",53.002796,16.76,64.302139,145.135834,15.91,0.06,98.386787,26.860641,58.853947,53.002934,2.69,3.8,1.93,1.05,2.25,46.189999,55.029999,43.819344,59.077271,105.53157,78.842453,39.995102,10.719617,1,16.780865,7.5,7.2,7.389025,57.946106,29.554626,38.75,25.521496,31.25,10.37,88.379997,6.811403
"51",54.323395,17.32,65.133255,149.08963,16.790001,0.06,100.002106,27.862459,60.340408,54.688179,2.83,3.91,1.96,1.02,2.4,46.119999,55.380001,44.300461,60.212376,106.092003,79.14521,39.837967,10.422368,1,17.814573,7.7,7.16,7.586329,58.596745,29.733385,38.27,26.012859,32.360001,10.52,89.379997,6.627311
"52",54.591488,17.16,64.98484,149.60231,17.59,0.0799,100.041512,27.475618,59.73592,54.565884,2.83,4.01,1.93,1.02,2.32,46.990002,55.509998,44.875912,61.373466,105.883026,79.688393,39.653107,10.533837,1,18.732349,7.81,7.15,7.635655,59.158657,29.743317,38.759998,26.661461,33,10.41,91.349998,6.520731
"53",55.395763,17.389999,65.172836,148.764252,17.049999,0.0799,97.106346,28.130272,61.658409,53.50436,2.73,4.07,1.97,0.97,2.46,46.439999,55.98,45.064587,61.096203,105.3321,77.462212,39.532944,10.747484,1.05,19.321663,8.08,7.05,7.675117,58.231991,27.57836,38.380001,25.157887,31.25,10.05,88.760002,6.511042
"54",55.415623,16.860001,63.975639,148.567032,15.71,0.0799,91.482277,27.832701,58.972866,53.785633,2.77,4.06,1.95,0.97,2.39,46.91,55.220001,44.781578,61.156841,104.610199,76.705322,39.292618,10.756776,1.25,19.476236,8,7.05,7.62579,58.527737,28.442356,38.689999,24.931858,31.27,10.05,89.980003,6.472285
"55",55.336185,17.139999,64.232887,149.395264,16.530001,0.0799,94.151489,27.545052,58.705307,53.981308,2.69,3.9,2.03,0.97,2.56,46.950001,55.759998,45.583439,62.040676,105.550583,77.052597,39.865692,10.59886,1.15,20.461641,7.93,7.06,7.60606,58.46859,28.402632,38.290001,25.00065,31.309999,10.15,90.230003,6.394774
"56",55.832653,17.27,64.242775,150.085449,16.280001,0.0799,93.895416,27.287157,59.022419,54.487617,2.71,3.96,2.05,0.97,2.55,46.779999,54.48,45.640041,61.754715,107.070381,76.829979,40.272396,10.60815,1.05,20.094528,7.95,7.095,7.369295,57.857384,28.104702,37.919998,24.686176,30.84,10.09,89.419998,6.394774
"57",54.690784,17.110001,63.896481,149.996292,16.379999,0.055,93.984047,26.612665,58.695396,54.044907,2.62,3.96,2.04,0.98,2.49,48.040001,53.110001,45.866447,62.101315,108.618683,76.892311,41.233681,10.654596,1.05,20.065546,7.91,7.225,7.132531,57.798237,27.796841,38.029999,24.479801,30.799999,10.19,89.089996,6.385085
"58",54.104954,16.92,64.312042,148.857193,15.88,0.0749,94.013596,26.75153,58.110718,53.254871,2.79,3.87,2.04,1.14,2.52,48.599998,52.880001,45.22496,62.725208,110.337967,77.533455,41.760544,10.728909,0.95,20.954342,7.93,6.955,7.024014,57.196888,27.310223,37.259998,24.322565,31.299999,10.06,88.209999,6.462596
"59",54.09502,16.77,63.955845,148.668976,15.53,0.0749,94.555321,27.039183,57.337757,53.497017,2.87,3.85,2.09,0.95,2.44,50.790001,52.52,45.064587,63.193085,108.457222,77.12384,41.196709,10.59886,0.85,20.287745,7.9,6.775,7.004283,57.177174,26.813673,36.529999,24.008093,30.059999,10.14,88.300003,6.588554
"60",54.343254,16.629999,63.965744,147.965714,15.45,0.0749,95.727417,26.939993,57.189114,53.242641,2.88,3.69,2.03,0.96,2.33,51.169998,52.18,45.338165,63.210426,107.573822,76.981361,41.751293,10.868245,0.8,19.98826,7.92,6.83,7.211452,57.482777,27.250637,36.950001,24.057228,30.290001,10.08,89.169998,6.54011
"61",54.432617,16.860001,64.361511,147.09404,16.049999,0.0749,94.614426,27.068939,58.368374,54.062019,2.73,3.69,2.01,1.02,2.36,52.700001,53.5,45.92305,62.465248,105.807045,76.171028,41.908428,10.478103,0.75,19.514881,8.02,6.885,7.043744,57.946106,27.002363,37.02,23.556036,30.24,9.94,88.449997,6.607932
"62",54.194313,16.940001,63.886589,148.064758,16.440001,0.074,94.919762,26.037363,58.080994,53.783188,2.7,3.47,2.03,1.02,2.33,51.599998,53.150002,45.394764,64.146225,106.2155,77.364265,42.028591,10.49668,0.8,19.205732,8.06,6.85,6.876036,57.453197,26.823605,36.310001,23.398798,29.809999,10.02,88.139999,6.433529
"63",53.956009,16.799999,63.500717,147.609131,15.38,0.074,95.658478,25.938173,56.730499,53.521481,2.65,3.32,2.05,1,2.36,50.950001,51.619999,42.828812,64.85675,106.737915,77.827316,41.85297,10.543126,0.9,18.268631,8.06,6.825,6.84644,56.782845,26.78388,36.299999,23.723099,30.049999,10.01,88.410004,6.511042
"64",53.628338,16.75,64.222992,148.243057,15.47,0.074,97.263939,26.047281,56.998611,54.781128,2.64,3.315,2,0.99,2.28,50.900002,52.299999,43.517467,65.610611,106.224983,77.38208,41.196709,10.283031,0.85,17.77593,7.85,6.86,6.649136,56.201214,26.615053,35.880001,23.683792,30.219999,10.06,87.839996,6.385085
"65",52.992863,16.530001,64.262566,148.609558,15.27,0.074,95.589531,26.394447,56.055256,54.93277,2.55,3.14,2.06,1.01,2.21,49.509998,51.66,42.592972,63.453049,105.398598,76.616264,40.355583,10.49668,0.75,17.331532,7.9,6.81,6.471563,53.578953,25.194923,34.700001,23.526554,30.08,9.97,83.690002,6.346328
"66",51.672264,16.120001,62.056171,147.797318,15.03,0.074,95.963806,25.918335,55.489243,53.555717,2.5,3.07,1.96,1.07,2.22,48.139999,50.650002,41.38546,62.499901,101.637077,75.111366,39.246403,10.487392,0.65,17.843554,7.9,6.825,6.540619,52.080521,25.095612,33.639999,24.027746,30.299999,10.16,83.269997,6.249437
"67",51.890709,16.02,61.640614,145.410141,15.92,0.074,97.293488,25.323196,54.694836,54.010662,2.53,3.34,1.96,1.07,2.25,49.25,50.540001,41.989212,63.990273,101.912529,75.859375,39.902664,10.673175,0.7,18.413544,7.88,6.83,6.511024,53.046616,25.651749,33.990002,24.34222,30.610001,10.89,84.290001,6.297883
"68",52.416965,16.360001,62.837807,146.212463,16.370001,0.074,98.682274,25.491819,55.22113,55.524673,2.55,3.24,2.01,1.06,2.23,48.57,51.029999,42.715607,64.692116,102.776917,76.527222,40.032074,10.49668,0.7,17.891857,7.72,7.08,6.511024,52.602997,25.651749,34.029999,24.106365,30.469999,10.7,84.849998,6.307572
"69",52.665195,16.610001,63.283043,147.311951,15.71,0.06,98.278442,25.005787,55.231056,55.536907,2.52,3.31,1.96,1,2.39,48.639999,50.740002,43.026917,64.406189,102.425461,76.776558,40.152237,10.264453,0.8,17.003059,7.74,6.975,6.343316,52.445271,26.078779,33.099998,22.701061,28.41,10.59,84.690002,6.249437
"70",52.655266,16.549999,62.511303,146.380859,15.55,0.05925,98.396637,26.781288,54.377071,54.886299,2.59,3.25,2.04,1.04,2.29,47.360001,48.779999,42.432594,63.712986,101.817551,75.975128,39.782509,10.134404,0.9,17.138313,7.7,6.925,6.264394,53.155052,26.88319,33.700001,23.025362,29.01,10.57,86.459999,6.404462
"71",53.112015,16.75,63.431461,147.173279,16.139999,0.055,97.352585,27.267319,54.486305,55.529572,2.55,3.28,2.01,1,2.34,48.52,48.400002,43.092953,63.513706,101.922028,76.304604,40.115261,8.183697,0.85,17.263905,7.57,7.19,6.116416,52.346687,26.992432,33.990002,24.027746,30.17,10.63,87.339996,6.32695
"72",53.290741,16.9,64.193306,147.916183,16.120001,0.055,98.59362,27.485537,54.853718,56.278019,2.48,3.34,1.96,0.97,2.33,47.900002,48.689999,39.536465,64.510147,101.561081,76.518318,40.300125,8.397346,0.75,17.341194,7.56,6.975,6.076955,52.198818,27.17119,36.049999,24.794275,31.030001,10.79,87.150002,6.462596
"73",53.538979,16.85,65.380615,148.599655,16.93,0.055,97.923851,27.297075,55.290638,57.774921,2.46,3.41,1.95,1,2.26,48.720001,50,40.451527,64.72995,102.928902,77.114929,40.281635,8.425211,0.85,17.186617,7.58,6.975,6.106551,52.238251,27.429396,35.830002,24.27343,31.32,10.73,86.970001,6.481975
"74",53.648197,16.91,65.509232,148.500595,17.200001,0.055,97.904167,28.120354,55.54882,57.691757,2.46,3.2,1.95,0.92,2.29,48.759998,50.400002,40.734539,64.844238,102.491974,76.518318,40.521957,8.601705,0.8,17.544069,7.56,6.825,6.402506,52.879025,28.074911,36.889999,24.568249,31.459999,10.5,87.879997,6.501353
"75",53.777279,17.139999,66.617378,149.917068,17.07,0.055,98.800468,28.269138,56.363083,57.557232,2.47,3.28,1.95,0.92,2.33,50.209999,51.48,40.810005,65.494781,104.201744,77.203979,40.863956,8.926823,0.75,17.563389,7.56,6.855,6.382776,52.415695,27.856426,36.049999,24.74514,31.48,10.44,89.699997,6.559487
"76",53.290741,16.98,66.122673,149.679321,17.110001,0.055,97.293488,29.300714,56.154552,57.324875,2.41,3.33,1.94,0.87,2.27,52.02,51.259998,40.791142,65.714569,102.539444,77.471123,40.475742,9.112605,0.8,17.949825,7.5,6.925,6.589945,52.612858,27.737255,36.77,24.528938,31.450001,10.69,89.459999,6.782335
"77",53.479404,17.190001,66.271088,150.976913,17.190001,0.055,97.332893,28.864279,56.194279,57.547455,2.4,3.23,1.85,0.98,2.33,52.639999,52.209999,40.92321,66.057419,103.023895,77.675934,40.790009,8.945399,0.8,18.104397,7.51,7.12,6.56035,53.066334,28.025253,36.779999,24.499456,30.84,10.65,90.089996,6.956738
"78",53.102085,16.959999,66.132561,150.560898,17.129999,0.04,99.371742,28.189787,56.353157,57.823841,2.48,3.25,1.91,0.9,2.36,51.669998,52.779999,41.064713,67.217873,103.19487,77.364265,40.549686,8.741042,0.8,18.384563,7.53,6.935,6.639271,53.805695,28.422495,37.880001,24.27343,30.940001,10.68,90.779999,7.431502
"79",52.853855,17.52,68.30928,151.501907,17.01,0.04,101.00676,29.231279,57.594414,58.826664,2.55,3.3,1.91,0.85,2.38,50.869999,53.970001,41.432625,67.956329,102.501465,77.079315,40.411045,8.685308,0.75,17.660002,7.4,7,6.382776,53.874702,28.064978,37.23,24.243946,30.74,10.64,89.709999,7.489636
"80",52.54604,18.799999,68.457695,151.581161,18.18,0.04,101.203743,29.885933,58.259727,58.692142,2.58,3.15,1.87,0.85,2.33,50.02,54.459999,40.951511,68.457436,104.334724,77.444412,40.595901,8.676016,0.8,17.882196,7.49,7.155,6.392642,53.440701,28.094772,37.75,24.30291,30.48,10.61,89.900002,7.315234
"81",52.863785,18.879999,68.180656,151.264191,18.35,0.05008,100.878708,27.763269,58.239872,59.479721,2.7,3.12,1.87,0.9,2.4,49.200001,53.080002,41.026985,68.351929,102.017014,77.14164,41.307621,8.443789,0.75,17.824236,7.39,7,6.461698,53.420837,29.207041,37.259998,23.880337,30.469999,10.76,89.809998,7.257099
